,forward_ntrials,forward_ncorrect,forward_k,backward_ntrials,backward_ncorrect,backward_k,practice_ntrials,practice_ncorrect,practice_k,sequencing_ntrials,sequencing_ncorrect,sequencing_k,group
4436,12.0,9.0,7.0,8.0,5.0,4.0,2.0,0.0,0.0,9.0,5.0,3.0,0.0
4439,12.0,12.0,8.0,12.0,12.0,7.0,6.0,6.0,4.0,21.0,13.0,7.0,0.0
4440,10.0,8.0,6.0,8.0,5.0,4.0,6.0,2.0,3.0,6.0,2.0,2.0,0.0
4441,12.0,8.0,7.0,8.0,4.0,4.0,4.0,2.0,2.0,9.0,6.0,3.0,1.0
4443,12.0,12.0,8.0,6.0,4.0,3.0,6.0,6.0,4.0,15.0,9.0,5.0,0.0
4444,12.0,10.0,8.0,8.0,4.0,4.0,6.0,6.0,4.0,21.0,12.0,7.0,1.0
4445,12.0,10.0,8.0,8.0,4.0,4.0,6.0,6.0,4.0,12.0,8.0,4.0,1.0
4446,,,,,,,,,,,,,0.0
4447,12.0,9.0,7.0,6.0,3.0,3.0,2.0,0.0,0.0,9.0,2.0,3.0,0.0
4448,,,,,,,,,,,,,0.0
4449,12.0,12.0,8.0,8.0,4.0,4.0,6.0,6.0,4.0,18.0,12.0,6.0,0.0
4450,,,,,,,,,,,,,0.0
4451,8.0,5.0,5.0,10.0,6.0,5.0,6.0,6.0,4.0,9.0,6.0,3.0,0.0
4452,,,,,,,,,,,,,1.0
4453,12.0,8.0,7.0,12.0,7.0,6.0,6.0,6.0,4.0,15.0,10.0,5.0,1.0
4454,,,,,,,,,,,,,0.0
4455,,,,,,,,,,,,,0.0
4456,10.0,7.0,6.0,6.0,4.0,3.0,6.0,5.0,4.0,12.0,7.0,4.0,0.0
4457,,,,,,,,,,,,,0.0
4458,,,,,,,,,,,,,0.0
4459,,,,,,,,,,,,,0.0
4460,10.0,8.0,6.0,12.0,7.0,6.0,6.0,5.0,4.0,15.0,11.0,5.0,0.0
4461,8.0,5.0,5.0,8.0,6.0,4.0,6.0,4.0,4.0,12.0,7.0,4.0,1.0
4463,,,,,,,,,,,,,0.0
4464,,,,,,,,,,,,,0.0
4465,,,,,,,,,,,,,1.0
